649 52
8 15
0 2 1163
0 7 7004
0 48 4995
0 11 6080
0 22 8133
0 37 8472
0 40 6092
0 12 6192
0 30 5502
0 26 8734
0 42 6620
0 32 6572
0 50 141
0 16 4776
0 51 6517
0 3 3925
0 21 9059
0 1 4790
0 20 4447
0 38 8125
1 38 7576
2 48 5855
2 45 9794
2 22 1106
2 17 3877
2 28 9319
2 9 6504
2 40 7436
2 12 6698
2 30 7103
2 42 1741
2 6 3182
2 33 4356
2 39 6706
2 16 4889
2 14 4601
2 49 5481
2 21 9483
2 20 2605
3 21 3999
3 1 4914
3 18 6558
3 38 6806
4 2 8073
4 48 6711
4 10 7005
4 37 9245
4 28 9848
4 9 9655
4 12 3794
4 30 7670
4 15 1315
4 26 206
4 36 3245
4 42 8614
4 33 2930
4 14 6990
4 41 1863
4 3 4602
4 21 4323
4 1 3911
4 38 939
5 13 7803
5 23 2819
5 44 8650
5 29 8300
5 47 3627
5 31 7893
5 0 7461
5 2 8387
5 7 8182
5 48 959
5 11 8933
5 10 1720
5 17 6673
5 34 92
5 28 8498
5 9 4533
5 40 9366
5 12 3701
5 30 5895
5 26 9558
5 42 9934
5 50 4476
5 41 5466
5 3 5828
5 20 2772
6 32 8954
6 33 3431
6 39 5617
6 50 6742
6 16 6655
6 14 3693
6 41 4065
6 51 5595
6 49 4427
6 3 5834
6 21 8581
6 1 7148
6 18 2304
7 11 5449
7 22 2189
7 37 7577
7 28 7965
7 9 5975
7 40 9823
7 12 9360
7 30 9564
7 15 1165
7 36 3180
7 42 4734
7 32 6541
7 33 3669
7 39 2200
7 50 7594
7 16 1090
7 41 7681
7 49 7082
7 1 4936
7 18 8890
8 2 5398
8 10 3473
8 37 6121
8 40 2470
8 30 3623
8 15 9999
8 6 2658
8 39 2317
8 16 1342
8 14 8597
8 41 2150
8 51 6811
8 49 1098
8 21 6844
8 1 6003
8 20 9710
8 18 8373
8 38 1752
9 40 733
9 30 2789
9 15 2033
9 26 7365
9 42 201
9 6 509
9 33 774
9 39 183
9 50 570
9 41 9333
9 49 5821
9 3 7907
9 21 4761
9 1 1352
9 20 7712
10 22 3413
10 37 6706
10 34 3542
10 28 6212
10 40 4983
10 12 5241
10 30 6072
10 15 2247
10 36 7910
10 33 1756
10 39 5258
10 24 9641
10 50 4942
10 16 5583
10 14 8076
10 49 7577
10 20 6936
10 38 8497
11 45 2638
11 17 6609
11 28 5828
11 36 3240
11 3 6289
11 21 2821
11 20 251
11 18 4629
11 38 2983
12 36 5626
12 6 469
12 32 8055
12 24 940
12 16 6805
12 51 3162
12 49 1210
12 3 1412
12 20 7964
12 18 7166
13 23 2494
13 27 7377
13 29 7914
13 47 484
13 31 7097
13 35 998
13 0 504
13 4 5615
13 2 9037
13 45 3310
13 37 6172
13 17 2599
13 34 2263
13 40 2918
13 12 3741
13 30 5236
13 36 7046
13 6 4298
13 39 8819
13 24 6675
13 41 8415
13 51 7563
13 49 5101
13 20 5482
13 38 5545
14 41 2459
14 21 1610
14 38 4039
15 26 3902
15 36 4136
15 32 3314
15 16 45
15 14 5397
15 51 3523
15 18 3475
16 41 8074
16 51 4527
16 1 765
16 38 9708
17 34 1272
17 9 3043
17 40 9473
17 42 4489
17 6 9070
17 33 1590
17 39 2021
17 50 6187
17 21 7904
17 1 3728
17 20 1554
17 18 8632
19 8 1582
19 0 9868
19 2 8019
19 7 5780
19 48 9584
19 11 9725
19 37 1588
19 17 2489
19 9 940
19 40 2164
19 15 7918
19 6 3290
19 33 1160
19 50 1271
19 16 9867
19 14 7506
19 41 695
19 51 5068
19 49 9658
19 20 2200
19 38 2138
20 38 2650
21 38 917
22 34 5967
22 28 1549
22 12 3848
22 42 159
22 32 8634
22 50 2545
22 16 3754
22 51 2366
22 3 4437
22 21 9364
22 38 6972
23 44 9201
23 27 5457
23 47 4907
23 4 1498
23 7 1681
23 11 1071
23 22 598
23 37 1914
23 17 898
23 9 2503
23 30 331
23 15 7342
23 42 2131
23 32 4712
23 41 7762
23 51 6833
23 49 4791
23 3 3302
23 20 6639
24 16 1121
24 14 8512
24 51 2197
24 49 104
24 3 3381
24 21 5323
24 38 3803
25 44 9419
25 27 8727
25 47 3112
25 31 3389
25 35 5303
25 19 9738
25 8 5987
25 0 566
25 4 3643
25 2 3205
25 48 3390
25 45 940
25 37 2220
25 34 8660
25 28 267
25 9 760
25 40 9427
25 39 4319
25 50 1680
25 14 1761
25 41 7600
25 49 3413
25 21 7033
25 20 7401
25 18 7317
26 6 8755
26 16 3804
26 41 5607
26 49 1080
26 3 7191
26 21 8529
26 1 4854
26 18 8458
26 38 2341
27 31 3800
27 0 2723
27 4 5418
27 2 8809
27 11 5533
27 10 6953
27 45 3315
27 22 4695
27 37 3112
27 34 9495
27 9 5599
27 30 7411
27 15 5225
27 26 4842
27 32 3620
27 24 1301
27 50 5658
27 16 9375
27 14 6771
27 49 774
27 21 997
28 9 6314
28 15 130
28 36 6592
28 6 8936
28 33 3597
28 16 3217
28 14 5372
28 49 221
28 3 5600
28 1 9344
28 20 2356
29 47 9559
29 31 3230
29 35 7870
29 19 7542
29 8 411
29 7 9198
29 11 9911
29 10 9000
29 45 6547
29 34 1946
29 12 2699
29 30 6528
29 15 7098
29 36 47
29 6 168
29 32 5737
29 39 9331
29 24 2962
29 50 21
29 41 3843
29 51 1718
29 3 5067
29 20 5983
29 18 1279
29 38 6991
30 36 9936
30 42 713
30 32 4741
30 39

