
2704 104
91 51
0 59 4156
0 44 4869
0 98 4432
0 60 3463
0 8 3110
0 39 6039
0 81 8765
0 96 4587
0 80 2758
0 99 9959
0 12 6390
0 23 3059
0 19 3844
0 9 7470
0 94 6998
1 48 9187
1 90 2245
1 79 9702
1 71 8420
1 20 5332
1 27 7467
1 5 7776
1 53 8611
1 2 7548
1 74 9524
1 29 1508
1 67 6320
1 18 695
1 49 752
1 16 4645
1 82 869
1 72 914
1 59 6731
1 44 5950
1 13 3660
1 98 5590
1 60 7543
1 47 131
1 8 2206
1 39 3360
1 81 1381
1 96 6103
1 25 2062
1 99 8877
1 37 3696
1 19 3277
1 103 4797
1 6 6493
1 97 3010
1 95 9010
1 94 5191
2 38 7954
2 67 3925
2 102 4953
2 16 2196
2 82 4846
2 72 4682
2 59 6557
2 98 8107
2 60 4007
2 47 3088
2 45 8343
2 81 187
2 96 1296
2 25 9946
2 99 1831
2 23 6462
2 103 3032
2 50 8444
2 9 5245
2 89 1509
3 57 8710
3 30 3515
3 28 5608
3 62 9742
3 33 1541
3 31 7267
3 52 4809
3 92 9020
3 84 6046
3 88 116
3 83 742
3 43 51
3 40 4728
3 56 908
3 1 3749
3 32 7292
3 48 4842
3 90 3354
3 79 1984
3 100 7252
3 93 2099
3 101 1946
3 86 1667
3 24 5135
3 53 5356
3 2 3808
3 74 2425
3 7 2598
3 36 141
3 38 5280
3 67 5544
3 87 4420
3 51 824
3 16 5874
3 82 8763
3 59 89
3 13 6692
3 98 7515
3 60 8452
3 39 6803
3 81 2153
3 96 2376
3 25 7662
3 12 1474
3 23 8563
3 103 2216
3 4 3241
3 97 1302
3 66 8601
4 6 5491
4 17 3623
4 95 3248
4 89 2104
5 53 1491
5 2 889
5 74 259
5 7 3183
5 29 9810
5 38 8191
5 11 9637
5 67 816
5 102 8458
5 16 2241
5 72 887
5 59 5078
5 47 9085
5 45 4448
5 39 4616
5 81 9652
5 96 4202
5 80 2687
5 12 8639
5 37 3748
5 19 3420
5 103 5446
5 4 4918
5 6 5731
5 97 1061
5 17 3973
5 50 4510
5 9 9212
5 89 9820
5 66 8564
5 94 9196
6 97 5893
6 50 1365
6 9 23
6 94 62
7 38 3402
7 18 7811
7 49 7616
7 42 2161
7 51 3712
7 0 8732
7 59 9607
7 60 6720
7 77 2825
7 8 903
7 45 9698
7 96 7159
7 99 3032
7 12 9660
7 37 2221
7 103 2615
7 4 2052
7 6 2043
7 97 2167
7 95 1783
7 66 4415
8 96 4239
8 80 8689
8 12 3707
8 37 1911
8 23 3963
8 19 4969
8 103 2900
8 6 1063
8 95 783
8 50 9214
8 9 288
8 89 1893
8 66 5552
8 94 9711
9 89 8945
9 66 2449
9 94 8833
10 84 9715
10 91 6714
10 34 300
10 40 8702
10 56 5985
10 32 2773
10 48 8605
10 100 1091
10 27 9978
10 36 3681
10 67 829
10 51 7748
10 16 7017
10 82 1198
10 59 6841
10 39 7875
10 96 1255
10 25 6465
10 12 8997
10 37 1102
10 4 7000
10 6 333
10 9 4353
11 67 7991
11 87 7257
11 42 613
11 51 1506
11 16 4372
11 82 1360
11 59 4081
11 44 253
11 13 8118
11 60 216
11 77 5956
11 45 7083
11 39 3758
11 81 1746
11 80 3616
11 99 3016
11 37 1637
11 6 8467
11 95 5982
11 9 8063
11 89 4321
12 37 5775
12 23 6243
12 103 9260
12 6 4977
12 97 4858
12 17 2976
12 95 4654
12 50 8204
12 66 3325
12 94 9105
13 60 589
13 45 2574
13 96 724
13 25 6054
13 99 3156
13 12 458
13 37 1276
13 103 3882
13 4 6445
13 95 9339
13 9 7972
14 70 2832
14 35 916
14 31 6746
14 26 1312
14 84 8072
14 91 733
14 83 2782
14 64 2553
14 46 5044
14 43 3489
14 73 2205
14 56 9551
14 1 8584
14 48 6306
14 71 9446
14 100 5942
14 75 364
14 55 8013
14 86 326
14 20 8079
14 74 8431
14 29 9717
14 36 5913
14 11 6106
14 87 867
14 42 6380
14 51 8719
14 102 9227
14 59 8426
14 44 8629
14 13 391
14 60 5650
14 8 2195
14 45 1788
14 96 7689
14 25 2805
14 37 9290
14 23 6262
14 9 5171
14 94 319
15 22 2975
15 41 1653
15 30 2190
15 62 6047
15 33 3412
15 52 6058
15 26 3268
15 92 4646
15 84 4987
15 88 7765
15 64 2266
15 43 9731
15 1 8616
15 32 6935
15 48 7584
15 79 8463
15 71 6531
15 93 3669
15 101 892
15 55 5567
15 20 5496
15 27 2364
15 5 1699
15 53 7675
15 2 6512
15 7 4774
15 29 1651
15 36 629
15 11 6086
15 87 6788
15 49 3698
15 102 3021
15 85 7351
15 82 3253
15 72 4421
15 98 2632
15 8 9745
15 39 6612
15 12 6359
15 37 4093
15 19 1094
15 95 8243
15 66 6196
16 82 6999
16 72 6156
16 44 4801
16 13 9817
16 60 1487
16 77 1456
16 47 7238
16 8 4719
16 45 8390
16 39 2984
16 81 3890
16 96 8980
16 12 4080
16 37 5893
16 23 4770
16 19 7864
16 103 4973
16 4 2733
16 6 9761
16 97 7427
17 95 1700
17 66 5938
18 49 8562
18 51 9541
18 72 3152
18 59 5465
18 13 9668
18 60 1824
18 77 9578
18 8 9572
18 45 7951
18 80 4810
18 12 8660
18 19 6660
18 103 4716
18 97 5587
18 17 4370
18 9 5744
18 66 2400
19 103 1871
19 97 8531
19 95 2284
19 94 3944
20 24 3766
20 53 9856
20 74 5060
20 7 2510
20 38 536
20 49 3248
20 16 4965
20 8
