16943 261
123 97
0 26 4013
0 77 6903
0 11 1195
0 41 5614
0 147 6924
0 179 6627
0 139 6799
0 3 7230
0 245 3803
0 70 7536
0 117 8433
0 205 6003
0 172 8175
0 106 9539
0 7 9760
0 244 7146
0 180 6453
0 249 7568
0 21 2844
0 194 5103
0 91 9766
0 250 9068
0 132 6099
0 204 4289
0 239 8941
0 60 8731
0 54 5600
0 144 9559
0 80 2671
0 92 5338
0 38 7063
0 241 8124
0 165 6156
0 83 1655
0 216 4045
0 1 4699
0 141 3344
0 130 1242
0 127 2332
0 208 8423
0 188 1794
0 189 8394
0 254 2441
0 121 8618
0 219 2125
0 160 6104
0 195 3617
0 61 8420
0 108 1484
0 229 615
0 202 7185
0 59 9983
0 234 1820
0 69 6506
0 103 2916
0 30 4349
0 63 3400
0 10 7493
0 134 3903
0 62 2998
0 257 9798
0 100 4285
0 148 3786
0 85 7328
0 118 3335
0 89 7444
0 51 3187
0 15 5858
0 224 9051
0 226 3109
0 71 8818
0 9 6758
0 214 1220
0 140 9595
0 126 1087
1 86 441
1 12 2277
1 127 8836
1 208 2519
1 188 4871
1 189 2057
1 254 4186
1 219 9218
1 61 6048
1 176 2327
1 163 7577
1 171 391
1 252 2475
1 233 9665
1 134 2534
1 62 2674
1 257 1264
1 65 7571
1 137 770
1 259 9033
1 85 2643
1 33 4356
1 156 188
1 34 9077
1 22 3903
1 49 5844
1 67 1560
1 51 9450
1 226 7961
1 140 9225
1 126 3715
2 247 2735
2 96 5673
2 188 2643
2 254 8836
2 219 7066
2 160 3803
2 195 836
2 237 6173
2 163 503
2 192 6653
2 200 9585
2 171 1814
2 59 3642
2 234 1291
2 170 4182
2 155 1678
2 233 6560
2 25 6809
2 10 4392
2 62 5614
2 148 3526
2 259 3327
2 156 7280
2 203 8048
2 31 7127
2 22 6270
2 15 4524
2 213 7084
2 224 9227
2 9 187
2 140 7532
3 245 859
3 117 9632
3 129 8593
3 205 979
3 235 8810
3 172 9382
3 106 6942
3 145 9462
3 221 7250
3 220 1233
3 55 5031
3 244 5252
3 180 5772
3 218 685
3 21 1661
3 194 406
3 225 3378
3 132 2389
3 193 9254
3 146 3232
3 144 286
3 92 5345
3 236 3883
3 165 2296
3 141 4742
3 247 3132
3 96 1988
3 73 1820
3 208 6598
3 254 8797
3 160 5793
3 195 1794
3 176 3148
3 108 6743
3 163 7473
3 234 1367
3 252 7720
3 69 375
3 103 9896
3 206 24
3 155 8344
3 10 6956
3 62 6725
3 257 3800
3 65 1328
3 242 4123
3 148 7953
3 85 6010
3 118 4639
3 33 4643
3 181 8258
3 34 5795
3 203 2616
3 31 1904
3 22 3831
3 49 4440
3 213 5025
3 226 9953
3 119 7964
3 214 6902
3 126 8837
4 75 3227
4 255 7559
4 166 4082
4 164 8494
4 27 8615
4 98 8045
4 94 7883
4 102 4931
4 212 4241
4 177 7593
4 40 1536
4 183 5945
4 74 3090
4 6 9176
4 109 2910
4 44 7214
4 48 3598
4 196 9686
4 136 1233
4 185 5906
4 151 5336
4 105 8483
4 24 3268
4 72 6203
4 133 2376
4 77 3040
4 191 4793
4 11 5141
4 139 1439
4 39 5767
4 117 1593
4 207 3021
4 205 8867
4 172 4992
4 7 3161
4 221 3484
4 35 7625
4 5 7498
4 55 2474
4 244 9646
4 218 7862
4 249 3080
4 21 7076
4 225 9381
4 112 9238
4 146 9509
4 204 2275
4 60 579
4 54 6360
4 199 1523
4 80 1655
4 92 6199
4 28 1955
4 38 1634
4 241 6129
4 83 9607
4 13 243
4 216 977
4 141 752
4 2 3253
4 86 88
4 247 2561
4 96 3268
4 73 2062
4 208 9864
4 189 9450
4 121 4291
4 219 3077
4 61 515
4 176 6005
4 229 770
4 192 2456
4 200 9848
4 171 6743
4 234 7279
4 252 9017
4 69 8870
4 170 6158
4 206 8613
4 233 3103
4 30 971
4 63 4638
4 134 2135
4 257 1147
4 100 904
4 65 720
4 242 496
4 137 6572
4 259 7883
4 85 1861
4 118 1967
4 181 7296
4 34 5037
4 203 6410
4 31 9412
4 49 5588
4 51 6898
4 15 8299
4 226 3879
4 119 4072
4 140 1229
4 126 8732
5 244 8991
5 249 3039
5 112 8446
5 132 876
5 204 1771
5 239 6723
5 144 2509
5 80 8796
5 92 5256
5 38 2485
5 241 8097
5 165 7644
5 83 2495
5 13 4690
5 260 7560
5 150 4635
5 1 4374
5 2 6782
5 247 4761
5 12 1513
5 96 9556
5 127 5086
5 208 6778
5 188 8562
5 254 230
5 219 194
5 195 2428
5 229 3735
5 163 3103
5 192 4481
5 200 6726
5 202 6292
5 234 3521
5 170 799
5 103 2414
5 233 4766
5 30 994
5 134 9662
5 258 3794
5 257 7604
5 100 5558
5 118 9487
5 33 5815
5 156 363
5 89 5538
5 34 3456
5 31 934
5 49 4399
5 51 7710
5 15 4862
5 213 2352
5 224 3326
5 226 9984
5 119 6056
5 71 7553
5 140 9454
5 126 8535
6 95 4610
6 44 5794
6 136 3340
6 185 1172
6 151 1940
6 107 404
6 24 2980
6 66 2683
6 104 6898
6 0 5260
6 26 3267
6 77 4283
6 11 8490
6 139 2689
6 201 6387
6 70 4546
6 207 7707
6 205 555
6 235 6258
6 142 7392
6 172 3941
6 106 1352
6 145 1696
6 35 475
6 244 2136
6 180 7301
6 249 1650
6 211 4069
6 21 6246
6 194 6251
6 112 46
