
49906 10000
7926 485
7926 9080 5232
7926 2350 7092
7926 1621 2327
7926 6282 6215
7926 6476 7347
7926 3856 1446
7926 8677 6530
7926 692 1388
7926 3233 9724
7926 7806 3374
8058 6927 5301
8058 3295 5473
8058 2196 8065
8058 469 6131
8058 256 1931
8058 1203 611
8058 277 583
8058 4136 4019
8058 4716 4458
8058 6904 6757
7 7716 4794
7 9816 8032
7 7573 9056
7 1740 2470
7 7603 4298
7 8274 5797
7 7663 1628
7 6716 5208
7 7227 7624
7 3033 1825
3005 2169 4280
3005 6866 8733
3005 9724 9431
3005 6181 2348
3005 6023 3800
3005 1067 9874
3005 7499 6003
3005 9597 3838
3005 4777 9916
3005 9209 1633
2351 3557 9580
2351 1636 1026
2351 5273 6553
2351 4729 7795
2351 1376 5500
2351 2518 6623
2351 9404 3025
2351 1988 5389
2351 7198 3872
2351 1629 5998
9770 7689 4118
9770 5313 4487
9770 1337 5570
9770 7804 4586
9770 7597 1763
9770 195 3583
9770 2266 9328
9770 4290 9285
9770 4150 810
9770 9478 1704
3360 2539 2212
3360 7132 4291
3360 3275 636
3360 4042 1549
3360 8489 9783
3360 1995 3915
3360 6736 6637
3360 5041 3967
3360 2820 1940
3360 5620 6825
5867 4297 1681
5867 6326 6876
5867 7434 2828
5867 1259 859
5867 7367 3382
5867 8228 361
5867 9068 8975
5867 1558 509
5867 2333 2146
5867 7313 9191
6914 4452 154
6914 5354 3783
6914 1345 2736
6914 7591 4729
6914 3553 555
6914 2482 6462
6914 9472 8977
6914 9653 9989
6914 8273 89
6914 6295 1942
5290 8374 6082
5290 2246 6077
5290 5219 1684
5290 142 1072
5290 703 5242
5290 294 479
5290 2893 5263
5290 5406 7626
5290 7513 3826
5290 8018 3604
5403 5619 9564
5403 3076 2743
5403 2806 5478
5403 2887 3619
5403 3118 830
5403 1364 1509
5403 814 5096
5403 7245 5543
5403 927 3261
5403 3988 7435
1214 3050 7483
1214 434 2286
1214 8609 8678
1214 4574 6199
1214 7226 7093
1214 9351 4944
1214 8178 9342
1214 8506 9209
1214 3076 5697
1214 7121 754
323 541 7556
323 4584 6454
323 3249 3525
323 7697 7792
323 9959 2847
323 4330 2370
323 8370 7180
323 815 9485
323 1400 4883
323 7198 4607
9399 7636 1454
9399 9986 2170
9399 2773 4013
9399 7490 7836
9399 6980 4652
9399 9890 1205
9399 1466 8373
9399 6948 6362
9399 8585 554
9399 8974 8447
9824 6837 186
9824 8919 7986
9824 454 7628
9824 7096 6751
9824 9575 4953
9824 7071 4931
9824 6803 8001
9824 4426 747
9824 3309 2148
9824 4358 535
5159 7175 3015
5159 4185 3214
5159 3369 3575
5159 9606 4065
5159 2211 7087
5159 6952 8969
5159 8719 5026
5159 9130 168
5159 7761 2931
5159 3920 806
8011 9016 3969
8011 4648 3921
8011 2969 4855
8011 1423 8932
8011 3364 6458
8011 8218 6590
8011 9637 4949
8011 9587 8787
8011 2784 6947
8011 8297 8268
3138 2767 9706
3138 2055 2697
3138 9790 2955
3138 9735 5166
3138 2921 672
3138 779 1102
3138 949 4677
3138 3379 8961
3138 1592 8895
3138 8164 2121
9408 9194 4299
9408 4381 1904
9408 9342 4793
9408 988 2374
9408 7634 607
9408 1478 1721
9408 3813 8389
9408 7027 7184
9408 3975 4540
9408 9660 3501
2074 6695 7444
2074 8806 4841
2074 6407 2765
2074 1308 8818
2074 7592 5678
2074 8139 8552
2074 990 5079
2074 891 1898
2074 8069 4833
2074 4821 1757
6525 2996 233
6525 4787 7105
6525 1235 364
6525 1518 9514
6525 3061 6755
6525 6395 234
6525 3046 9548
6525 1204 6284
6525 7532 9371
6525 947 8650
5314 7488 2712
5314 3846 9623
5314 3576 9718
5314 9637 2771
5314 2555 2757
5314 8246 7550
5314 439 7571
5314 1678 6171
5314 3407 474
5314 5568 102
3009 3945 9928
3009 3956 2227
3009 8656 8625
3009 9993 3630
3009 8658 8491
3009 7991 5277
3009 8355 6383
3009 6889 465
3009 3594 8096
3009 6765 5063
2463 2278 3035
2463 1075 822
2463 3409 3204
2463 5287 9022
2463 9053 1253
2463 835 8306
2463 3191 646
2463 9017 7709
2463 9719 7895
2463 9219 8418
8036 6925 1321
8036 5784 4116
8036 7988 8708
8036 789 5918
8036 2748 1212
8036 1327 8397
8036 4302 987
8036 4797 5124
8036 4312 3779
8036 4769 8256
3283 5879 6411
3283 7240 5105
3283 3274 6722
3283 5849 6628
3283 3219 6794
3283 1549 6889
3283 7282 9046
3283 7502 7610
3283 7519 5742
3283 1543 6397
9897 2100 1202
9897 5204 4310
9897 4567 6464
9897 5647 613
9897 4335 5222
9897 4678 8944
9897 8083 7473
9897 2840 2139
9897 3267 4907
9897 4976 8956
923 6204 4899
923 9647 3487
923 1192 1569
923 5947 2411
923 6975 4015
923 6997 7372
923 5544 6439
923 4581 3040
923 562
